height,weight
62.9,133.3
62.2,128.7
62.1,148
61.6,102.7
69,202.4
67.9,204
65.6,142.1
69.7,150.7
67.2,137.2
67.2,127.9
67,161.9
71.7,185
71,171.9
71.3,166.2
70.6,179.7
60.9,147.1
66,240.3
75.3,202.8
66.3,133.1
62.3,117.8
71,164.7
68.6,143.9
65.1,194.2
67.1,195.4
61,109.5
61.7,108.9
66.7,241.3
70.3,167.2
70.8,164.9
72.8,212.9
74.1,165.2
61.5,111.4
68,121.9
64.1,174.6
62,112.7
67.4,155.5
60.7,162.9
64.1,108.8
63.7,102.4
66.1,152.4
70,147.6
70.3,135.4
65.9,145.2
72.5,233.1
64,127
62.8,132.2
66.1,150
60.7,139.6
66.7,137
60.1,136.4
66.4,123.5
63.4,125.8
60.6,125.4
68.5,169.9
62.3,86.1
68.3,147.9
66.6,170.2
68.4,148.4
70.5,182.4
64.6,132.6
64.1,95.3
78.1,256.1
68.8,268.4
64.9,119.7
62.4,122.5
64.9,123.5
62.8,136.9
61.1,133.5
65.3,154.1
65.6,129.9
68.8,240.8
66.6,144.5
65.7,124.3
64.7,121.8
66,127.7
70.6,197.6
58.5,104.7
69.2,199.9
65,190.4
65.4,189.6
68.4,184.8
65.4,115
65.7,142.9
67.2,151.4
68.9,155.9
70,147.3
67.9,139.6
73.7,174.2
69.8,223.2
69.8,189.7
71.9,179.6
73.5,194.8
59.7,156.5
67.8,209
65.6,159.6
65.9,272.5
68.3,166.1
74.2,214.3
65.5,201.7
63.9,207.8
