height,weight,age,sex
151.765,47.8256065,63,male
139.7,36.4858065,63,female
136.525,31.864838,65,female
156.845,53.0419145,41,male
145.415,41.276872,51,female
163.83,62.992589,35,male
149.225,38.2434755,32,female
168.91,55.4799715,27,male
147.955,34.869885,19,female
165.1,54.487739,54,male
154.305,49.89512,47,female
151.13,41.220173,66,male
144.78,36.0322145,73,female
149.9,47.7,20,female
150.495,33.849303,65.3,female
163.195,48.5626935,36,male
157.48,42.3258035,44,male
143.9418,38.3568735,31,female
121.92,19.617854,12,male
105.41,13.947954,8,female
86.36,10.489315,6.5,female
161.29,48.987936,39,male
156.21,42.7226965,29,female
129.54,23.586784,13,male
109.22,15.989118,7,female
146.4,35.493574,56,male
148.59,37.9032815,45,female
147.32,35.4652245,19,female
137.16,27.328918,17,male
125.73,22.6796,16,female
114.3,17.860185,11,male
147.955,40.312989,29,male
161.925,55.111428,30,male
146.05,37.5063885,24,female
146.05,38.498621,35,female
152.7048,46.606578,33,female
142.875,38.838815,27,female
142.875,35.5786225,32,female
147.955,47.400364,36,female
160.655,47.8823055,24,male
151.765,49.4131785,30,male
162.8648,49.384829,24,male
171.45,56.5572525,52,male
147.32,39.12231,42,female
147.955,49.89512,19,female
144.78,28.803092,17,female
121.92,20.41164,8,male
128.905,23.359988,12,female
97.79,13.267566,5,female
154.305,41.2485225,55,male
143.51,38.55532,43,female
146.7,42.4,20,male
157.48,44.6504625,18,male
127,22.0105518,13,male
110.49,15.422128,9,female
97.79,12.757275,5,female
165.735,58.5984165,42,male
152.4,46.719976,44,female
141.605,44.22522,60,female
158.8,50.9,20,female
155.575,54.317642,37,female
164.465,45.8978405,50,male
151.765,48.024053,50,female
161.29,52.219779,31,male
154.305,47.62716,25,female
145.415,45.642695,23,female
145.415,42.410852,52,female
152.4,36.4858065,79.3,male
163.83,55.9335635,35,male
144.145,37.194544,27,female
129.54,24.550667,13,male
129.54,25.627948,14,female
153.67,48.307548,38,male
142.875,37.3362915,39,female
146.05,29.596878,12,female
167.005,47.173568,30,male
158.4198,47.286966,24,female
91.44,12.927372,0.6,male
165.735,57.549485,51,male
149.86,37.931631,46,female
147.955,41.900561,17,female
137.795,27.5840635,12,female
154.94,47.2019175,22,female
160.9598,43.204638,29,male
161.925,50.2636635,38,male
147.955,39.3774555,30,female
113.665,17.463292,6,male
159.385,50.689,45,male
148.59,39.4341545,47,female
136.525,36.28736,79,female
158.115,46.266384,45,male
144.78,42.2691045,54,female
156.845,47.62716,31,male
179.07,55.7067675,23,male
118.745,18.824068,9,female
170.18,48.5626935,41,male
146.05,42.807745,23,female
147.32,35.0683315,36,female
113.03,17.8885345,5,male
162.56,56.755699,30,female
133.985,27.442316,12,male
152.4,51.255896,34,female
160.02,47.230267,44,male
149.86,40.936678,43,female
142.875,32.715323,73.3,female
167.005,57.0675435,38,male
159.385,42.977842,43,male
154.94,39.9444455,33,female
148.59,32.4601775,16,female
111.125,17.123098,11,male
111.76,16.499409,6,male
162.56,45.9545395,35,male
152.4,41.106775,29,female
124.46,18.257078,12,female
111.76,15.081934,9,male
86.36,11.4815475,7.6,male
170.18,47.5988105,58,male
146.05,37.5063885,53,female
159.385,45.019006,51,male
151.13,42.2691045,48,female
160.655,54.8562825,29,male
169.545,53.523856,41,male
158.75,52.1914295,81.75,male
74.295,9.752228,1,male
149.86,42.410852,35,female
153.035,49.5832755,46,female
96.52,13.097469,5,male
161.925,41.730464,29,male
162.56,56.018612,42,male
149.225,42.1557065,27,female
116.84,19.391058,8,female
100.076,15.081934,6,male
163.195,53.0986135,22,male
161.925,50.235314,43,male
145.415,42.52425,53,female
163.195,49.101334,43,male
151.13,38.498621,41,female
150.495,49.8100715,50,female
141.605,29.313383,15,male
170.815,59.760746,33,male
91.44,11.7083435,3,female
157.48,47.9390045,62,male
152.4,39.292407,49,female
149.225,38.1300775,17,male
129.54,21.999212,12,female
147.32,36.8826995,22,female
145.415,42.127357,29,female
121.92,19.787951,8,female
113.665,16.782904,5,male
157.48,44.565414,33,male
154.305,47.853956,34,female
120.65,21.1770765,12,female
115.6,18.9,7,male
167.005,55.1964765,42,male
142.875,32.998818,40,female
152.4,40.879979,27,female
96.52,13.267566,3,female
160,51.2,25,male
159.385,49.044635,29,male
149.86,53.4388075,45,female
160.655,54.090846,26,male
160.655,55.3665735,45,male
149.225,42.240755,45,female
